,city,clouds,country,humidity,lat,lon,max_temp,wind_speed
378,wulanhaote,NaN,NaN,NaN,NaN,NaN,NaN,NaN
379,tazovskiy,100,RU,76,67.47,78.7,23.71,20.29
380,kamenka,0,MD,78,48.03,28.7,53.75,4.36
381,porbandar,100,IN,78,21.64,69.61,80.6,6.93
382,bam,0,IR,48,29.11,58.36,58.49,4.76
383,bowen,75,AU,48,-20.01,148.25,86,12.75
384,tari,100,NG,72,12.41,4.49,79.15,7.09
385,chadan,100,RU,49,51.29,91.58,35.88,1.88
386,tasiilaq,100,GL,64,65.61,-37.64,32,5.86
387,broken hill,0,AU,26,-31.97,141.45,64.4,13.87
388,zurrieq,20,MT,88,35.83,14.47,70,5.82
389,fraga,20,ES,93,41.52,0.35,62.6,9.17
390,warkworth,97,NZ,63,-36.4,174.66,66.99,13.87
391,raga,NaN,NaN,NaN,NaN,NaN,NaN,NaN
392,coquimbo,90,CL,81,-29.95,-71.34,53.6,5.82
393,goure,100,NE,70,13.98,10.27,78.01,1.99
394,tokzar,NaN,NaN,NaN,NaN,NaN,NaN,NaN
395,itarema,44,BR,91,-2.92,-39.92,74.89,5.73
396,athabasca,97,CA,94,54.72,-113.29,35.02,9.91
397,ambilobe,11,MG,70,-13.19,49.05,73.01,10.33
398,alice springs,0,AU,10,-23.7,133.88,87.8,11.41
399,banjar,88,ID,70,-7.37,108.54,80.23,4.79
400,qeshm,0,IR,74,26.96,56.27,80.6,2.24
401,santa maria,0,BR,36,-16.02,-48.01,80.6,4.7
402,kupang,20,ID,46,-10.16,123.6,91.4,10.29
403,zhigansk,93,RU,93,66.77,123.37,17.9,3.69
404,cockburn town,94,TC,74,21.46,-71.14,83.35,15.73
405,dunda,0,IN,77,30.62,78.32,69.8,5.3
406,khandyga,100,RU,99,62.65,135.58,32.28,3.83
407,minbu,13,MM,82,20.18,94.88,81.69,2.98
408,launceston,90,AU,45,-41.43,147.14,64.4,12.75
409,presidencia roque saenz pena,97,AR,70,-26.79,-60.44,62.68,4.92
410,shache,65,CN,92,38.42,77.24,50,1.66
411,longyearbyen,75,NO,85,78.22,15.63,17.6,5.82
412,peterhead,20,AU,48,-34.83,138.5,66,13.87
413,buala,2,SB,71,-8.15,159.59,84.62,8.21
414,luangwa,0,MZ,40,-15.62,30.4,69.04,3.85
415,mersin,75,TR,88,36.81,34.63,71.6,3.36
416,ayia galini,40,GR,93,35.1,24.68,66.99,4.7
417,palmer,20,AU,48,-34.85,139.16,66,13.87
418,vanimo,86,PG,69,-2.67,141.3,84.68,8.9
419,terney,5,RU,48,45.05,136.61,59.01,4.63
420,la ronge,40,CA,100,55.1,-105.3,30.2,3.33
421,manta,0,RO,69,45.1,24.1,53.14,2.3
422,the pas,75,CA,81,53.82,-101.24,33.8,3.49
423,matara,100,BI,90,-3.48,29.48,51.86,1.16
424,vestmannaeyjar,76,IS,72,63.44,-20.27,44.45,12.08
425,ust-kuyga,99,RU,92,70,135.55,8.66,2.73
426,merke,75,KZ,33,42.87,73.19,56.53,3.6
427,elizabeth city,75,US,77,36.3,-76.22,64.4,6.93
428,pangoa,74,PE,98,-12.12,-73,67.87,2.1
429,moraga,40,US,82,37.83,-122.13,60.01,13.87
430,burns lake,32,CA,89,54.23,-125.76,27.37,0.94
431,linchuan,NaN,NaN,NaN,NaN,NaN,NaN,NaN
432,matagami,100,NG,97,9.67,8.4,67.56,5.08
433,petropavlovsk-kamchatskiy,0,RU,39,53.05,158.65,44.6,11.18
434,turinsk,0,RU,73,58.04,63.7,20.94,5.44
435,quelimane,75,MZ,88,-17.88,36.89,75.2,2.59
436,nova odesa,0,UA,80,47.3,31.79,52.35,2.21
437,sorvag,NaN,NaN,NaN,NaN,NaN,NaN,NaN
438,roald,96,NO,81,62.58,6.12,42.8,12.75
439,zambezi,0,ZM,40,-13.55,23.12,64,5.66
440,noumea,75,NC,40,-22.28,166.46,87.8,13.87
441,bardiyah,NaN,NaN,NaN,NaN,NaN,NaN,NaN
442,fare,100,PF,79,-16.7,-151.02,80.05,10.87
443,sarkand,100,KZ,32,45.41,79.91,53.11,1.21
444,medea,75,DZ,37,36.27,2.77,82.4,12.75
445,attawapiskat,NaN,NaN,NaN,NaN,NaN,NaN,NaN
446,san policarpo,47,PH,67,12.18,125.51,84.57,5.44
447,denpasar,20,ID,74,-8.65,115.22,86,14.99
